CALLSIGN,TIME,LATITUDE,LONGITUDE,ALTITUDE,SPEED,TRACK,VERTICAL_RATE
KLM29L, 1496327499981, 54.485996, -0.989519, 36000, 432.8, 314.6, -64
EZY905M, 1496327495995, 53.599869, -2.222534, 38000, 452.5, 338.5, -64
STK3832, 1496327495104, 53.655551, -6.372636, 17000, 316.2, 25.7, -64
STK26GL, 1496327515989, 54.539795, -5.644145, 15000, 305.9, 26.0, 64
KLM29L, 1496327515958, 54.513648, -1.038208, 36000, 433.5, 314.7, -64
EZY905M, 1496327510911, 53.635437, -2.246155, 37975, 452.9, 338.4, 0
STK26GL, 1496327519729, 54.547119, -5.637984, 15000, 305.9, 26.0, 0
KLM29L, 1496327519713, 54.521393, -1.050406, 36000, 433.5, 314.7, 64
EZY905M, 1496327519213, 53.643356, -2.251413, 37975, 452.9, 338.4, 0
STK3832, 1496327519697, 53.692187, -6.342908, 17000, 315.3, 25.8, 0
STK26GL, 1496327516865, 54.548401, -5.636956, 15000, 306.8, 25.9, 0
KLM29L, 1496327516865, 54.522912, -1.053023, 36000, 434.2, 314.8, 0
STK3832, 1496327516850, 53.693481, -6.341779, 17000, 315.3, 25.8, 0
STK26GL, 1496327521928, 54.548401, -5.636956, 15000, 306.8, 25.9, 64
KLM29L, 1496327521912, 54.522912, -1.053023, 36000, 433.5, 314.7, 0
STK3832, 1496327521896, 53.693481, -6.341779, 17000, 315.3, 25.8, 64
STK26GL, 1496327531772, 54.566811, -5.621005, 15000, 308.4, 30.4, -128
KLM29L, 1496327531772, 54.541122, -1.084738, 36000, 434.2, 314.8, 0
EZY905M, 1496327531740, 53.680177, -2.276028, 37975, 452.9, 338.4, 64
STK26GL, 1496327544099, 54.575702, -5.60902, 14975, 306.9, 45.8, 64
KLM29L, 1496327542380, 54.552063, -1.104126, 36000, 433.5, 314.9, 0
EZY905M, 1496327544067, 53.697215, -2.287337, 38000, 452.9, 338.4, 64
STK3832, 1496327542333, 53.719839, -6.32037, 17000, 316.7, 25.8, 0
STK26GL, 1496327545900, 54.578339, -5.604158, 15000, 305.3, 48.3, 256
KLM29L, 1496327542682, 54.552063, -1.104126, 36000, 433.5, 314.9, 0
EZY905M, 1496327544432, 53.700577, -2.289551, 38000, 453.8, 338.4, 64
STK3832, 1496327542619, 53.719839, -6.32037, 17000, 315.3, 25.8, 0
STK26GL, 1496327546428, 54.580776, -5.599365, 15025, 305.0, 49.5, 448
KLM29L, 1496327546412, 54.561969, -1.121271, 36000, 434.2, 314.8, 0
EZY905M, 1496327544569, 53.706345, -2.293396, 38000, 453.5, 338.5, 0
STK3832, 1496327546350, 53.728226, -6.31345, 17000, 315.3, 25.8, 0
STK26GL, 1496327554537, 54.588458, -5.583884, 15025, 305.0, 49.5, -128
KLM29L, 1496327554037, 54.571747, -1.138458, 36000, 434.2, 314.8, 0
EZY905M, 1496327554022, 53.720032, -2.302499, 38000, 453.8, 338.4, 0
STK3832, 1496327554522, 53.740695, -6.303325, 17000, 315.3, 25.8, 0
STK26GL, 1496327559989, 54.589994, -5.580805, 15025, 305.8, 49.6, -192
KLM29L, 1496327559989, 54.575134, -1.143386, 36000, 434.2, 314.8, 0
EZY905M, 1496327556505, 53.720032, -2.302499, 38000, 453.8, 338.4, 0
STK3832, 1496327556692, 53.740695, -6.303325, 17000, 315.3, 25.8, 0
STK26GL, 1496327576416, 54.601685, -5.557143, 15000, 307.8, 49.5, 0
KLM29L, 1496327576291, 54.594406, -1.177799, 36000, 434.2, 314.8, 0
EZY905M, 1496327575432, 53.752853, -2.324393, 38000, 453.8, 338.4, 0
STK3832, 1496327572135, 53.754272, -6.292184, 17000, 315.3, 25.8, 0
STK26GL, 1496327579114, 54.608688, -5.543006, 15000, 308.6, 49.6, 0
KLM29L, 1496327579098, 54.604146, -1.194846, 36000, 433.5, 314.9, 0
EZY905M, 1496327574223, 53.757873, -2.327728, 38000, 453.8, 338.4, 0
STK3832, 1496327579098, 53.769743, -6.279575, 17000, 315.3, 25.8, 0
STK26GL, 1496327597475, 54.627869, -5.503908, 15000, 310.2, 50.1, 0
KLM29L, 1496327597787, 54.637253, -1.250987, 36000, 433.5, 314.7, 0
STK26GL, 1496327607197, 54.63366, -5.491999, 15000, 311.0, 50.2, 0
KLM29L, 1496327608121, 54.642929, -1.260923, 36000, 434.2, 314.8, 0
EZY905M, 1496327608103, 53.822205, -2.37085, 38000, 455.1, 338.3, 0
